Skip,API Field Name,Group,Common Name,Type,Query,Description
true,inventor_longitude,inventors,Longitude,float,N,Longitude of inventor's city as listed on the selected patent
true,inventor_sequence,inventors,Sequence,integer,Y,Order in which inventor is listed on the patent
true,inventor_lastknown_country,inventors,Last Known Country,string,Y,"Inventor's country as of their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
true,inventor_county_fips,inventors,County FIPS code,string,Y,FIPS code of the inventor's county associated with their location_id on a given patent (only US)
true,inventor_first_name,inventors,First Name,string,Y,First name of inventor
true,inventor_county,inventors,County,string,Y,Inventor's county associated with their location_id on a given patent (only US)
true,inventor_city,inventors,City,string,Y,Inventor's city as listed on the selected patent
true,inventor_country,inventors,Country,string,Y,Inventor's country as listed on the selected patent
true,inventor_last_seen_date,inventors,Last Seen Date,date,Y,Most recent patent grant date for all the inventor's patents in the database
true,inventor_lastknown_city,inventors,Last Known City,string,Y,"Inventor's city as of their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
true,inventor_last_name,inventors,Last Name,string,Y,Last name of inventor
true,inventor_first_seen_date,inventors,First Seen Date,date,Y,Earliest patent grant date for all the inventor's patents in the database
true,inventor_id,inventors,ID,string,Y,Unique database inventor ID  by disambiguation algorithm
true,ipc_subclass,ipcs,Subclass,string,Y,Subdivisions IPC class
true,ipc_subgroup,ipcs,Subgroup,string,Y,Subdivisions of IPC main group
true,ipc_section,ipcs,Section,string,Y,"Highest hierarchical levels of the IPC corresponding to broad technical fields ( A = Human Necessitites, B = Performing Operations; Transporint, C = Chemistry; Metallurgy, D = Textiles; paper, E = Fixed Constructing, F = Mechanical Engineering; Lighting; Heating; Weapons; Blasting Engines; Pumps, G = Physics, H = Electricity)"
true,ipc_sequence,ipcs,Sequence,integer,Y,Order of the IPC classification in the list of classifications for the selected patent
true,ipc_total_num_inventors,ipcs,Total Number of Inventors,integer,Y,Total number of unique inventors on patents within an IPC class
true,ipc_version_indicator,ipcs,Version Indicator,date,N,The version of the IPC classification system
true,ipc_symbol_position,ipcs,Position,string,Y,"First or later position of symbols. The position of the first invention information classification can be recognized by this field. The letters ""F"" and ""L"" are used for the first and later position, respectively."
true,ipc_total_num_assignees,ipcs,Total Number of Assignees,integer,Y,Total number of unique assignees on patents within an IPC class
true,ipc_classification_data_source,ipcs,Classification Data Source,string,N,"�H� defining �Human - Generated�, �M� defining �Machine - Generated� and �G� defining �G enerated via Software�"
